x,y,z,A,B,C,button,T,delta_ms
-20.3664,7.09716,-709.722,-0.162462,-1.39204,-0.171893,0,1755508674651,0
-20.3753,7.09682,-709.91,-0.162606,-1.39198,-0.172004,0,1755508674659,8
-20.3344,7.0545,-709.188,-0.162445,-1.39202,-0.171835,0,1755508674667,8
-20.3418,7.04335,-709.36,-0.162609,-1.39205,-0.172003,0,1755508674675,8
-20.3755,7.04852,-709.017,-0.163485,-1.39208,-0.172805,0,1755508674683,8
-20.3861,7.05003,-709.193,-0.163593,-1.39206,-0.172838,0,1755508674691,8
-20.2902,6.92387,-708.49,-0.164293,-1.39221,-0.1736,0,1755508674699,8
-20.3025,6.89652,-708.653,-0.164527,-1.39227,-0.173907,0,1755508674707,8
-20.3169,6.87227,-708.819,-0.164328,-1.39224,-0.173609,0,1755508674715,8
-20.2342,7.0177,-708.528,-0.164588,-1.39216,-0.173789,0,1755508674723,8
-20.2442,6.99767,-708.688,-0.164323,-1.39218,-0.173527,0,1755508674731,8
-20.261,6.99134,-708.847,-0.164393,-1.39217,-0.173593,0,1755508674739,8
-20.192,7.19067,-707.85,-0.16195,-1.39252,-0.171423,0,1755508674747,8
-20.2121,7.19024,-707.975,-0.162127,-1.39255,-0.171675,0,1755508674755,8
-20.2512,7.14736,-707.835,-0.162934,-1.3926,-0.172307,0,1755508674763,8
-20.2722,7.1533,-707.943,-0.16288,-1.39255,-0.172191,0,1755508674771,8
-20.2947,7.16093,-708.068,-0.162834,-1.3925,-0.172143,0,1755508674779,8
-20.3226,7.07518,-707.871,-0.163034,-1.3926,-0.17244,0,1755508674787,8
-20.3439,7.07452,-708.01,-0.162859,-1.39253,-0.172212,0,1755508674795,8
-20.4353,7.032,-708.191,-0.161831,-1.39261,-0.171266,0,1755508674803,8
-20.4677,7.02212,-708.343,-0.162067,-1.39262,-0.171473,0,1755508674811,8
-20.5003,7.03306,-708.501,-0.161786,-1.3926,-0.171132,0,1755508674819,8
-20.4535,7.1793,-708.853,-0.161252,-1.39257,-0.170497,0,1755508674827,8
-20.4885,7.19077,-709.036,-0.16154,-1.39255,-0.170783,0,1755508674835,8
-20.3135,6.99523,-708.376,-0.163864,-1.39268,-0.173108,0,1755508674843,8
-20.317,6.9726,-708.516,-0.163511,-1.39276,-0.172686,0,1755508674851,8
-20.3395,6.94968,-708.674,-0.163669,-1.39268,-0.172861,0,1755508674859,8
-20.2451,7.03834,-708.291,-0.164613,-1.39268,-0.173737,0,1755508674867,8
-20.2616,7.02562,-708.443,-0.164627,-1.39262,-0.173711,0,1755508674875,8
-20.2674,7.03893,-708.047,-0.165075,-1.39265,-0.17419,0,1755508674883,8
-20.2838,7.02153,-708.183,-0.165158,-1.39265,-0.174281,0,1755508674891,8
-20.2988,7.01588,-708.332,-0.165116,-1.39256,-0.174198,0,1755508674899,8
-20.2699,7.04423,-708.057,-0.165426,-1.39263,-0.174408,0,1755508674907,8
-20.2853,7.03479,-708.22,-0.165389,-1.39265,-0.174401,0,1755508674915,8
-20.2446,7.03439,-707.94,-0.165762,-1.39257,-0.174802,0,1755508674923,8
-20.2447,7.02759,-708.083,-0.165689,-1.39262,-0.174672,0,1755508674931,8
-20.2472,7.03418,-708.227,-0.165495,-1.3926,-0.174492,0,1755508674939,8
-20.271,6.98337,-707.728,-0.166086,-1.39265,-0.175166,0,1755508674947,8
-20.2755,6.99043,-707.857,-0.165733,-1.39268,-0.174805,0,1755508674955,8
-20.2309,7.10802,-707.706,-0.165511,-1.39262,-0.174501,0,1755508674963,8
-20.2337,7.11286,-707.833,-0.165851,-1.39256,-0.174875,0,1755508674971,8
-20.2353,7.12987,-707.972,-0.166035,-1.39254,-0.175016,0,1755508674979,8
-20.1414,7.24394,-707.084,-0.165229,-1.39276,-0.174274,0,1755508674987,8
-20.1504,7.2672,-707.201,-0.165496,-1.39282,-0.174513,0,1755508674995,8
-20.2328,7.19903,-707.466,-0.163752,-1.39279,-0.172785,0,1755508675003,8
-20.2532,7.2018,-707.603,-0.164077,-1.39276,-0.173064,0,1755508675011,8
-20.2778,7.2133,-707.749,-0.163752,-1.39279,-0.172704,0,1755508675019,8
-20.3289,7.17464,-708.063,-0.162284,-1.39272,-0.171196,0,1755508675027,8
-20.3624,7.17486,-708.227,-0.162347,-1.39277,-0.171239,0,1755508675035,8
