x,y,z,A,B,C
-20.3664,7.09716,-709.722,-0.162462,-1.39204,-0.171893
-20.3753,7.09682,-709.91,-0.162606,-1.39198,-0.172004
-20.3344,7.0545,-709.188,-0.162445,-1.39202,-0.171835
-20.3418,7.04335,-709.36,-0.162609,-1.39205,-0.172003
-20.3755,7.04852,-709.017,-0.163485,-1.39208,-0.172805
-20.3861,7.05003,-709.193,-0.163593,-1.39206,-0.172838
-20.2902,6.92387,-708.49,-0.164293,-1.39221,-0.1736
-20.3025,6.89652,-708.653,-0.164527,-1.39227,-0.173907
-20.3169,6.87227,-708.819,-0.164328,-1.39224,-0.173609
-20.2342,7.0177,-708.528,-0.164588,-1.39216,-0.173789
-20.2442,6.99767,-708.688,-0.164323,-1.39218,-0.173527
-20.261,6.99134,-708.847,-0.164393,-1.39217,-0.173593
-20.192,7.19067,-707.85,-0.16195,-1.39252,-0.171423
-20.2121,7.19024,-707.975,-0.162127,-1.39255,-0.171675
-20.2512,7.14736,-707.835,-0.162934,-1.3926,-0.172307
-20.2722,7.1533,-707.943,-0.16288,-1.39255,-0.172191
-20.2947,7.16093,-708.068,-0.162834,-1.3925,-0.172143
-20.3226,7.07518,-707.871,-0.163034,-1.3926,-0.17244
-20.3439,7.07452,-708.01,-0.162859,-1.39253,-0.172212
-20.4353,7.032,-708.191,-0.161831,-1.39261,-0.171266
-20.4677,7.02212,-708.343,-0.162067,-1.39262,-0.171473
-20.5003,7.03306,-708.501,-0.161786,-1.3926,-0.171132
-20.4535,7.1793,-708.853,-0.161252,-1.39257,-0.170497
-20.4885,7.19077,-709.036,-0.16154,-1.39255,-0.170783
-20.3135,6.99523,-708.376,-0.163864,-1.39268,-0.173108
-20.317,6.9726,-708.516,-0.163511,-1.39276,-0.172686
-20.3395,6.94968,-708.674,-0.163669,-1.39268,-0.172861
-20.2451,7.03834,-708.291,-0.164613,-1.39268,-0.173737
-20.2616,7.02562,-708.443,-0.164627,-1.39262,-0.173711
-20.2674,7.03893,-708.047,-0.165075,-1.39265,-0.17419
-20.2838,7.02153,-708.183,-0.165158,-1.39265,-0.174281
-20.2988,7.01588,-708.332,-0.165116,-1.39256,-0.174198
-20.2699,7.04423,-708.057,-0.165426,-1.39263,-0.174408
-20.2853,7.03479,-708.22,-0.165389,-1.39265,-0.174401
-20.2446,7.03439,-707.94,-0.165762,-1.39257,-0.174802
-20.2447,7.02759,-708.083,-0.165689,-1.39262,-0.174672
