x,y,z,A,B,C,button,T,delta_ms
-11.0958,-152.047,-652.931,-0.0585774,-1.39916,-0.0762555,0,1755509217216,0
-11.2041,-152.193,-652.627,-0.058461,-1.39944,-0.0762271,0,1755509217224,8
-11.2251,-152.206,-652.635,-0.0585672,-1.39937,-0.076313,0,1755509217232,8
-11.1181,-152.157,-652.736,-0.0592558,-1.39918,-0.0768622,0,1755509217240,8
-11.1349,-152.164,-652.768,-0.059393,-1.39917,-0.0770036,0,1755509217248,8
-11.1529,-152.185,-652.803,-0.0594068,-1.39915,-0.0770521,0,1755509217256,8
-11.1601,-152.213,-652.736,-0.0590188,-1.39928,-0.076708,0,1755509217264,8
-11.1797,-152.244,-652.765,-0.0586987,-1.39925,-0.0764193,0,1755509217272,8
-11.1589,-152.179,-652.693,-0.0594865,-1.39938,-0.0773235,0,1755509217280,8
-11.1633,-152.188,-652.706,-0.0594105,-1.39934,-0.0772253,0,1755509217288,8
-11.1586,-152.196,-652.716,-0.0597251,-1.39933,-0.0775727,0,1755509217296,8
-11.2115,-152.254,-652.51,-0.0595636,-1.39955,-0.0774564,0,1755509217304,8
-11.2105,-152.259,-652.512,-0.0596806,-1.39954,-0.0775608,0,1755509217312,8
-11.1766,-152.261,-652.691,-0.0598419,-1.39951,-0.0777005,0,1755509217320,8
-11.1722,-152.268,-652.706,-0.0599876,-1.39955,-0.0777971,0,1755509217328,8
-11.1653,-152.277,-652.734,-0.060275,-1.3995,-0.0780958,0,1755509217336,8
-11.1265,-152.191,-652.458,-0.0610724,-1.39966,-0.0789746,0,1755509217344,8
-11.118,-152.192,-652.484,-0.0602298,-1.3997,-0.0781358,0,1755509217352,8
-11.0958,-152.178,-652.291,-0.0603551,-1.39989,-0.0782591,0,1755509217360,8
-11.0901,-152.188,-652.307,-0.0603816,-1.39988,-0.0782916,0,1755509217368,8
-11.0854,-152.204,-652.318,-0.060608,-1.39989,-0.0784639,0,1755509217376,8
-11.0946,-152.118,-652.105,-0.0607445,-1.40005,-0.0787765,0,1755509217384,8
-11.1022,-152.133,-652.098,-0.0609054,-1.40001,-0.0789436,0,1755509217392,8
-11.0941,-152.059,-652.272,-0.060122,-1.39996,-0.0780315,0,1755509217400,8
-11.0969,-152.076,-652.273,-0.060347,-1.39998,-0.0783237,0,1755509217408,8
-11.0937,-152.09,-652.274,-0.0598349,-1.39989,-0.0778479,0,1755509217416,8
-11.1261,-152.148,-652.408,-0.0599535,-1.39987,-0.0778598,0,1755509217424,8
-11.1294,-152.162,-652.422,-0.0594261,-1.39989,-0.0774019,0,1755509217432,8
-11.0969,-152.128,-652.496,-0.0587462,-1.39985,-0.0767507,0,1755509217440,8
-11.1078,-152.116,-652.519,-0.0590199,-1.39978,-0.0769703,0,1755509217448,8
-11.0902,-152.123,-652.556,-0.0588376,-1.39978,-0.0767742,0,1755509217456,8
-11.1358,-152.14,-652.548,-0.0583563,-1.39967,-0.0763479,0,1755509217464,8
-11.1332,-152.123,-652.576,-0.0579967,-1.3997,-0.0759512,0,1755509217472,8
-11.1706,-152.115,-652.584,-0.0580709,-1.39967,-0.0760924,0,1755509217480,8
-11.1696,-152.104,-652.599,-0.0580958,-1.39967,-0.0760766,0,1755509217488,8
-11.1621,-152.106,-652.616,-0.0583705,-1.39962,-0.0763761,0,1755509217496,8
-11.1613,-152.089,-652.63,-0.0584342,-1.39957,-0.0764755,0,1755509217504,8
-11.1622,-152.096,-652.645,-0.0580769,-1.39968,-0.0761061,0,1755509217512,8
-11.1568,-152.1,-652.663,-0.0581934,-1.39963,-0.0762432,0,1755509217520,8
-11.1706,-152.102,-652.683,-0.0582132,-1.3996,-0.0761854,0,1755509217528,8
-11.1826,-152.118,-652.711,-0.0585674,-1.39956,-0.0765502,0,1755509217536,8
-11.1255,-152.166,-652.361,-0.0585186,-1.39977,-0.0766393,0,1755509217544,8
-11.1364,-152.188,-652.382,-0.0580621,-1.3998,-0.076192,0,1755509217552,8
-11.124,-152.222,-652.713,-0.0578474,-1.39956,-0.0759946,0,1755509217560,8
-11.1369,-152.227,-652.744,-0.0580086,-1.39955,-0.0761545,0,1755509217568,8
-11.1381,-152.232,-652.774,-0.0578778,-1.39957,-0.0760079,0,1755509217576,8
-11.1342,-152.217,-652.778,-0.0574894,-1.39965,-0.0755431,0,1755509217584,8
-11.1385,-152.227,-652.807,-0.0571201,-1.39968,-0.0752002,0,1755509217592,8
-11.1599,-152.207,-652.763,-0.0573219,-1.39964,-0.0754113,0,1755509217600,8
-11.1574,-152.195,-652.779,-0.0572068,-1.39959,-0.0752587,0,1755509217608,8
-11.1509,-152.196,-652.8,-0.0570336,-1.39956,-0.0750972,0,1755509217616,8
-11.1494,-152.087,-652.654,-0.0572534,-1.39952,-0.075358,0,1755509217624,8
-11.1539,-152.083,-652.683,-0.0570974,-1.39947,-0.0752614,0,1755509217632,8
-11.1632,-152.186,-652.572,-0.0579118,-1.3997,-0.0760781,0,1755509217640,8
-11.1734,-152.187,-652.59,-0.0577408,-1.39973,-0.0759604,0,1755509217648,8
-11.1865,-152.194,-652.61,-0.0574471,-1.39969,-0.0755319,0,1755509217656,8
-11.1401,-152.205,-652.896,-0.0574413,-1.39959,-0.0757018,0,1755509217664,8
-11.1473,-152.217,-652.943,-0.0576392,-1.39965,-0.0759254,0,1755509217672,8
-11.136,-152.203,-652.95,-0.0570303,-1.39966,-0.0752662,0,1755509217680,8
-11.1479,-152.218,-652.978,-0.0570211,-1.39968,-0.0752304,0,1755509217688,8
-11.1458,-152.234,-653.004,-0.0569827,-1.39966,-0.0752407,0,1755509217696,8
-11.2823,-152.348,-653.035,-0.0577242,-1.39975,-0.076009,0,1755509217704,8
-11.2945,-152.37,-653.062,-0.057958,-1.39973,-0.0761695,0,1755509217712,8
-11.1302,-152.234,-653.004,-0.0578162,-1.39969,-0.0760939,0,1755509217720,8
-11.1272,-152.241,-653.032,-0.0576323,-1.39968,-0.0759249,0,1755509217728,8
-11.1091,-152.25,-653.067,-0.0575739,-1.39967,-0.0758488,0,1755509217736,8
-11.089,-152.216,-652.995,-0.0571821,-1.39965,-0.0753348,0,1755509217744,8
-11.0737,-152.217,-653.037,-0.0571926,-1.39962,-0.0753854,0,1755509217752,8
-11.1077,-152.232,-652.683,-0.0568321,-1.39977,-0.0749683,0,1755509217760,8
-11.0996,-152.241,-652.705,-0.05675,-1.39972,-0.0748379,0,1755509217768,8
-11.0958,-152.251,-652.724,-0.0567485,-1.39969,-0.0748069,0,1755509217776,8
-11.1792,-152.295,-652.56,-0.0572574,-1.39976,-0.0755645,0,1755509217784,8
-11.1904,-152.318,-652.563,-0.0574181,-1.39974,-0.0756803,0,1755509217792,8
-11.1868,-152.218,-652.338,-0.0581955,-1.39989,-0.0765341,0,1755509217800,8
-11.1974,-152.236,-652.324,-0.0578719,-1.39989,-0.0762124,0,1755509217808,8
-11.2042,-152.258,-652.314,-0.0583069,-1.3999,-0.0766655,0,1755509217816,8
-11.1027,-152.139,-652.446,-0.0578137,-1.39979,-0.0761654,0,1755509217824,8
-11.1058,-152.141,-652.462,-0.0577174,-1.39979,-0.0760104,0,1755509217832,8
-11.0714,-152.125,-652.512,-0.0573259,-1.39973,-0.0756782,0,1755509217840,8
-11.072,-152.128,-652.533,-0.0574561,-1.39981,-0.0757609,0,1755509217848,8
-11.0639,-152.134,-652.563,-0.0571376,-1.39977,-0.0754403,0,1755509217856,8
-11.0983,-152.107,-652.573,-0.0574996,-1.39976,-0.0758306,0,1755509217864,8
-11.0869,-152.115,-652.595,-0.0572881,-1.39978,-0.0755371,0,1755509217872,8
-11.111,-152.103,-652.65,-0.0568748,-1.39971,-0.0751347,0,1755509217880,8
-11.1121,-152.101,-652.666,-0.0570311,-1.39977,-0.0752617,0,1755509217888,8
-11.1026,-152.104,-652.672,-0.0572757,-1.39977,-0.0754535,0,1755509217896,8
-11.1769,-152.163,-652.604,-0.0581523,-1.39974,-0.0764628,0,1755509217904,8
-11.1837,-152.174,-652.612,-0.0583682,-1.39975,-0.0767113,0,1755509217912,8
-11.1382,-152.163,-652.48,-0.0579886,-1.39964,-0.0761857,0,1755509217920,8
-11.1476,-152.171,-652.489,-0.0577811,-1.3997,-0.0759766,0,1755509217928,8
-11.151,-152.179,-652.497,-0.0580334,-1.39961,-0.0761745,0,1755509217936,8
-11.0518,-152.161,-652.738,-0.0590158,-1.39947,-0.0769177,0,1755509217944,8
-11.0423,-152.185,-652.778,-0.0587612,-1.39952,-0.0766171,0,1755509217952,8
-11.1243,-152.105,-652.638,-0.0578625,-1.39951,-0.0758088,0,1755509217960,8
-11.1406,-152.103,-652.664,-0.0579489,-1.39948,-0.0758854,0,1755509217968,8
-11.1365,-152.126,-652.695,-0.0580001,-1.39951,-0.0759368,0,1755509217976,8
